,Title,Wiki Link,Blurb,x,y
0,Allon Bachuth,https://en.wikipedia.org/wiki/Allon_Bachuth,Oak near Bethel mentioned in Genesis,-122.0,-26.0
1,Allerton Oak,https://en.wikipedia.org/wiki/Allerton_Oak,"Tree in Liverpool, England",-36.0,-8.0
2,Arbutus Oak,https://en.wikipedia.org/wiki/Arbutus_Oak,"Historic tree in the middle of a highway interchange in Maryland, US",120.0,47.0
3,Angel Oak,https://en.wikipedia.org/wiki/Angel_Oak,Southern live oak,-36.0,10.0
4,Arsenal Oak,https://en.wikipedia.org/wiki/Arsenal_Oak,"Public university in Augusta, Georgia, US",-122.0,-8.0
5,Arlington Oak,https://en.wikipedia.org/wiki/Arlington_Oak,,-150.0,-8.0
6,Bale Oak,https://en.wikipedia.org/wiki/Bale_Oak,"Large oak tree in northern Norfolk, England",77.0,120.0
7,Bartek (tree),https://en.wikipedia.org/wiki/Bartek_(tree),One of the oldest oak trees in Poland,20.0,156.0
8,Bazynski Oak,https://en.wikipedia.org/wiki/Ba%C5%BCy%C5%84ski_Oak,,-51.0,10.0
9,Basking Ridge white oak,https://en.wikipedia.org/wiki/Basking_Ridge_white_oak,"White oak in Basking Ridge, New Jersey",-65.0,83.0
10,Beaman Oak,https://en.wikipedia.org/wiki/Beaman_Oak,,-22.0,28.0
11,Big Belly Oak,https://en.wikipedia.org/wiki/Big_Belly_Oak,"Ancient oak tree in the Savernake Forest in Wiltshire, England",-150.0,83.0
12,The Big Tree,https://en.wikipedia.org/wiki/The_Big_Tree,,120.0,120.0
13,The Big Oak,https://en.wikipedia.org/wiki/The_Big_Oak,"Tree in Thomasville, GA, USA",-36.0,101.0
14,Birnam Oak,https://en.wikipedia.org/wiki/Birnam_Oak,"Famous tree in Perth and Kinross, Scotland",105.0,138.0
15,"The Big Tree, Rockport","https://en.wikipedia.org/wiki/The_Big_Tree,_Rockport",Live oak tree in Texas,-65.0,156.0
16,Bowthorpe Oak,https://en.wikipedia.org/wiki/Bowthorpe_Oak,,49.0,28.0
17,Bland Oak,https://en.wikipedia.org/wiki/Bland_Oak,"Historic Southern live oak in Carramar, New South Wales, Australia",49.0,101.0
18,Boyington Oak,https://en.wikipedia.org/wiki/Boyington_Oak,"Historic oak tree in Mobile, Alabama",-36.0,138.0
19,Bridal Oak,https://en.wikipedia.org/wiki/Bridal_Oak,Largest tree in Norway,-136.0,-26.0
20,Bridegroom's Oak,https://en.wikipedia.org/wiki/Bridegroom%27s_Oak,,-164.0,-8.0
21,Brimmon Oak,https://en.wikipedia.org/wiki/Brimmon_Oak,,134.0,-26.0
22,Bruce Tree,https://en.wikipedia.org/wiki/Bruce_Tree,"Historical oak tree in Dunbartonshire, Scotland",34.0,10.0
23,Bukoshi Oak,https://en.wikipedia.org/wiki/Bukoshi_Oak,Natural monument in Kosovo,63.0,138.0
24,Buttington Oak,https://en.wikipedia.org/wiki/Buttington_Oak,"Tree in Buttington, Wales",91.0,101.0
25,Calvos Oak,https://en.wikipedia.org/wiki/Calvos_Oak,"Tree in Póvoa de Lanhoso, Portugal",63.0,120.0
26,Candler Oak Tree,https://en.wikipedia.org/wiki/Candler_Oak_Tree,,-79.0,28.0
27,Capon Tree,https://en.wikipedia.org/wiki/Capon_Tree,"Old tree near Jedburgh, Scotland",77.0,156.0
28,Caton Oak,https://en.wikipedia.org/wiki/Caton_Oak,Tree in England,34.0,156.0
29,Chained Oak,https://en.wikipedia.org/wiki/Chained_Oak,"Tree in Staffordshire, England",-150.0,65.0
30,Chêne chapelle,https://en.wikipedia.org/wiki/Ch%C3%AAne_chapelle,,91.0,138.0
31,Charter Oak,https://en.wikipedia.org/wiki/Charter_Oak,"Large oak tree in Hartford, Connecticut",63.0,156.0
32,Chrobry Oak,https://en.wikipedia.org/wiki/Chrobry_Oak,,-22.0,156.0
33,Clement Oak,https://en.wikipedia.org/wiki/Clement_Oak,"White oak tree in Deptford Township, New Jersey, U.S.",-51.0,83.0
34,Cowthorpe Oak,https://en.wikipedia.org/wiki/Cowthorpe_Oak,Tree in England,105.0,28.0
35,"Council Oak Tree (Hollywood, Florida)","https://en.wikipedia.org/wiki/Council_Oak_Tree_(Hollywood,_Florida)",United States historic place,120.0,28.0
36,Creek Council Oak Tree,https://en.wikipedia.org/wiki/Creek_Council_Oak_Tree,,-79.0,-8.0
37,Darley Oak,https://en.wikipedia.org/wiki/Darley_Oak,"Ancient tree in Cornwall, England",77.0,-26.0
38,The Devil's Tree,https://en.wikipedia.org/wiki/The_Devil%27s_Tree,,-8.0,120.0
39,Dewajtis (tree),https://en.wikipedia.org/wiki/Dewajtis_(tree),"Tree in Wola Osowinska, Poland",-136.0,-8.0
40,Dømmesmo Oak,https://en.wikipedia.org/wiki/D%C3%B8mmesmo_Oak,,162.0,47.0
41,Donar's Oak,https://en.wikipedia.org/wiki/Donar%27s_Oak,,-36.0,83.0
42,Door Tree,https://en.wikipedia.org/wiki/Door_Tree,"Tree in Hamden, Connecticut",77.0,-8.0
43,Druid oak,https://en.wikipedia.org/wiki/Druid_oak,,-22.0,174.0
44,Ekeby oak tree,https://en.wikipedia.org/wiki/Ekeby_oak_tree,,34.0,47.0
45,Duffie Oak,https://en.wikipedia.org/wiki/Duffie_Oak,Historic Southern live oak tree,-36.0,-26.0
46,Emancipation Oak,https://en.wikipedia.org/wiki/Emancipation_Oak,,105.0,-8.0
47,Elfin Oak,https://en.wikipedia.org/wiki/Elfin_Oak,"Public artwork in Kensington Gardens, London",120.0,83.0
48,Encino Oak Tree,https://en.wikipedia.org/wiki/Encino_Oak_Tree,,-93.0,28.0
49,Fabrykant Oak,https://en.wikipedia.org/wiki/Fabrykant_Oak,"Oak tree in Lódz, Poland",6.0,138.0
50,Femeiche,https://en.wikipedia.org/wiki/Femeiche,Oak tree in North Rhine-Westphalia,134.0,-8.0
51,Friendship Oak,https://en.wikipedia.org/wiki/Friendship_Oak,"Large oak tree in Long Beach, Mississippi",-164.0,47.0
52,The Oak at Flagey,https://en.wikipedia.org/wiki/The_Oak_at_Flagey,1864 painting by Gustave Courbet,77.0,28.0
53,Gernikako Arbola,https://en.wikipedia.org/wiki/Gernikako_Arbola,,-8.0,83.0
54,Fulham Palace Oak,https://en.wikipedia.org/wiki/Fulham_Palace_Oak,List of trees in London,-65.0,120.0
55,Gilwell Oak,https://en.wikipedia.org/wiki/Gilwell_Oak,"Oak tree in Gilwell Park, Essex, England",34.0,65.0
56,Goethe Oak,https://en.wikipedia.org/wiki/Goethe_Oak,,-65.0,138.0
57,Granit oak,https://en.wikipedia.org/wiki/Granit_oak,"Ancient tree in Granit, Bulgaria",-51.0,-8.0
58,"Gospel Oak, Polstead","https://en.wikipedia.org/wiki/Gospel_Oak,_Polstead",Veteran tree in England,-51.0,47.0
59,Henry Clay Oak,https://en.wikipedia.org/wiki/Henry_Clay_Oak,Former oak tree in North Carolina,-22.0,83.0
60,Grave Oak,https://en.wikipedia.org/wiki/Grave_Oak,"Old oak tree containing a gravesite in Thuringia, Germany",-136.0,-45.0
61,Hunrodeiche,https://en.wikipedia.org/wiki/Hunrodeiche,"Oak tree in Saxony-Anhalt, Germany",-36.0,156.0
62,Hooker Oak,https://en.wikipedia.org/wiki/Hooker_Oak,"Historical valley oak in California, US",-36.0,47.0
63,Jagiello Oak,https://en.wikipedia.org/wiki/Jagie%C5%82%C5%82o_Oak,,134.0,83.0
64,Jurupa Oak,https://en.wikipedia.org/wiki/Jurupa_Oak,"Exceptionally old clonal oak colony in Riverside, California",34.0,174.0
65,Kett's Oak,https://en.wikipedia.org/wiki/Kett%27s_Oak,,34.0,138.0
66,Kaive Oak,https://en.wikipedia.org/wiki/Kaive_Oak,Remarkable oak in Latvia,-36.0,65.0
67,Kile Oak Tree,https://en.wikipedia.org/wiki/Kile_Oak_Tree,Oak tree,6.0,174.0
68,King Ludwig Oak,https://en.wikipedia.org/wiki/King_Ludwig_Oak,,120.0,138.0
69,King Oak,https://en.wikipedia.org/wiki/King_Oak,,-122.0,47.0
70,Knightwood Oak,https://en.wikipedia.org/wiki/Knightwood_Oak,,-150.0,10.0
71,Kongeegen,https://en.wikipedia.org/wiki/Kongeegen,,120.0,-26.0
72,Lanier's Oak,https://en.wikipedia.org/wiki/Lanier%27s_Oak,,-51.0,156.0
73,Liberty Tree (Charleston),https://en.wikipedia.org/wiki/Liberty_Tree_(Charleston),,-93.0,-45.0
74,Lincoln Oak,https://en.wikipedia.org/wiki/Lincoln_Oak,,-122.0,10.0
75,Lover's Oak,https://en.wikipedia.org/wiki/Lover%27s_Oak,,-51.0,174.0
76,Linden Oak,https://en.wikipedia.org/wiki/Linden_Oak,,148.0,10.0
77,Major Oak,https://en.wikipedia.org/wiki/Major_Oak,"Tree in Sherwood Forest, Nottinghamshire",-79.0,10.0
78,Maksym Zalizniak oak tree,https://en.wikipedia.org/wiki/Maksym_Zalizniak_oak_tree,,-79.0,83.0
79,Marton Oak,https://en.wikipedia.org/wiki/Marton_Oak,"Ancient tree in Cheshire, UK",105.0,120.0
80,Mercer Oak,https://en.wikipedia.org/wiki/Mercer_Oak,,-65.0,47.0
81,Merlin's Oak,https://en.wikipedia.org/wiki/Merlin%27s_Oak,,49.0,138.0
82,Midland Oak,https://en.wikipedia.org/wiki/Midland_Oak,Oak tree in Warwickshire,49.0,120.0
83,Mieszko Oak,https://en.wikipedia.org/wiki/Mieszko_Oak,Tree in Poland,-65.0,10.0
84,Mingo Oak,https://en.wikipedia.org/wiki/Mingo_Oak,"White oak (Quercus alba) in West Virginia, U.S.",-8.0,138.0
85,Mollestad Oak,https://en.wikipedia.org/wiki/Mollestad_Oak,,-51.0,138.0
86,Napoleon Oak,https://en.wikipedia.org/wiki/Napoleon_Oak,,-150.0,-26.0
87,Napoleon Oak (Lausanne),https://en.wikipedia.org/wiki/Napoleon_Oak_(Lausanne),,-65.0,65.0
88,Niel Gow's Oak,https://en.wikipedia.org/wiki/Niel_Gow%27s_Oak,,-136.0,65.0
89,Newland Oak,https://en.wikipedia.org/wiki/Newland_Oak,Former British oak,20.0,65.0
90,Oak at the Gate of the Dead,https://en.wikipedia.org/wiki/Oak_at_the_Gate_of_the_Dead,Ancient oak tree in Wales,6.0,120.0
91,Oak of Mamre,https://en.wikipedia.org/wiki/Oak_of_Mamre,Venerated site in the West Bank,91.0,47.0
92,"Oak of Shashkevych, Shmankivtsi","https://en.wikipedia.org/wiki/Oak_of_Shashkevych,_Shmankivtsi",,63.0,65.0
93,Oaks of Avalon,https://en.wikipedia.org/wiki/Oaks_of_Avalon,Pair of ancient oak trees,148.0,28.0
94,Oldrich Oak,https://en.wikipedia.org/wiki/Old%C5%99ich_Oak,,-107.0,-45.0
95,Onzelievehereboom,https://en.wikipedia.org/wiki/Onzelievehereboom,,49.0,-8.0
96,Osterley Cork Oak,https://en.wikipedia.org/wiki/Osterley_Cork_Oak,List of trees in London,-122.0,101.0
97,Parliament Oak,https://en.wikipedia.org/wiki/Parliament_Oak,Tree in England,-93.0,47.0
98,Pontfadog Oak,https://en.wikipedia.org/wiki/Pontfadog_Oak,"Former sessile oak in Wrexham, Wales",91.0,10.0
99,Pow-Wow Oak Tree,https://en.wikipedia.org/wiki/Pow-Wow_Oak_Tree,Historic tree in Massachusetts,63.0,-26.0
100,Pugachev's Oak,https://en.wikipedia.org/wiki/Pugachev%27s_Oak,,-136.0,83.0
101,Pwllpriddog Oak,https://en.wikipedia.org/wiki/Pwllpriddog_Oak,"Historic tree in Carmarthenshire, Wales",49.0,83.0
102,Queen Elizabeth Oak,https://en.wikipedia.org/wiki/Queen_Elizabeth_Oak,"Tree in Cowdray Park, West Sussex, England",-122.0,120.0
103,"Queen Elizabeth's Oak, Greenwich Park","https://en.wikipedia.org/wiki/Queen_Elizabeth%27s_Oak,_Greenwich_Park",,-107.0,10.0
104,"Queen Elizabeth's Oak, Hatfield House","https://en.wikipedia.org/wiki/Queen_Elizabeth%27s_Oak,_Hatfield_House",,-107.0,-8.0
105,Queen's Oak,https://en.wikipedia.org/wiki/Queen%27s_Oak,,162.0,10.0
106,Rákoczi Oak,https://en.wikipedia.org/wiki/R%C3%A1koczi_Oak,,-122.0,83.0
107,Robin Hood Oak,https://en.wikipedia.org/wiki/Robin_Hood_Oak,"Doctoral research institution in Syracuse, New York, US",120.0,-45.0
108,Robin Hood's Larder,https://en.wikipedia.org/wiki/Robin_Hood%27s_Larder,,-51.0,28.0
109,Royal Oak,https://en.wikipedia.org/wiki/Royal_Oak,Tree in which King Charles II hid in 1651,63.0,28.0
110,Royal Oak (Thuringia),https://en.wikipedia.org/wiki/Royal_Oak_(Thuringia),"Natural monument in Thuringia, Germany",-150.0,28.0
111,Rumskulla oak,https://en.wikipedia.org/wiki/Rumskulla_oak,"Oak tree in Kalmar County, Sweden",6.0,101.0
112,Sacred Oak,https://en.wikipedia.org/wiki/Sacred_Oak,,20.0,174.0
113,Seven Sisters Oak,https://en.wikipedia.org/wiki/Seven_Sisters_Oak,"Southern live oak in Mandeville, Louisiana",-93.0,-26.0
114,Shawshank tree,https://en.wikipedia.org/wiki/Shawshank_tree,"Former white oak near Lucas, Ohio, US",-8.0,174.0
115,Shelton Oak,https://en.wikipedia.org/wiki/Shelton_Oak,Tree in England,34.0,-26.0
116,Shire Oak (Headingley),https://en.wikipedia.org/wiki/Shire_Oak_(Headingley),,-93.0,101.0
117,Six Oaks of Likoshan,https://en.wikipedia.org/wiki/Six_Oaks_of_Likoshan,Grove of trees in Kosovo,-79.0,120.0
118,Snoegen,https://en.wikipedia.org/wiki/Snoegen,,-122.0,65.0
119,Skipinnish Oak,https://en.wikipedia.org/wiki/Skipinnish_Oak,"Oak tree in Achnacarry, Lochaber, Scotland",148.0,83.0
120,Sobieski Oak,https://en.wikipedia.org/wiki/Sobieski_Oak,Tree in Poland,-93.0,120.0
121,Sobreiro Monumental,https://en.wikipedia.org/wiki/Sobreiro_Monumental,,134.0,120.0
122,Stelmuze Oak,https://en.wikipedia.org/wiki/Stelmu%C5%BE%C4%97_Oak,,49.0,174.0
123,Storkeegen,https://en.wikipedia.org/wiki/Storkeegen,,91.0,120.0
124,The Suffrage Oak,https://en.wikipedia.org/wiki/The_Suffrage_Oak,"Oak tree in Glasgow, Scotland",6.0,83.0
125,Tamme-Lauri oak,https://en.wikipedia.org/wiki/Tamme-Lauri_oak,Thickest and oldest oak in Estonia,120.0,10.0
126,Three Brother Tree,https://en.wikipedia.org/wiki/Three_Brother_Tree,,-65.0,28.0
127,Three Mile Oak,https://en.wikipedia.org/wiki/Three_Mile_Oak,Historic site,-150.0,47.0
128,Tordenskiold Oak,https://en.wikipedia.org/wiki/Tordenskiold_Oak,,-22.0,65.0
129,Travilah Oak,https://en.wikipedia.org/wiki/Travilah_Oak,"Large white oak located in Travilah, Maryland, United States",-79.0,-26.0
130,"Treaty Oak (Austin, Texas)","https://en.wikipedia.org/wiki/Treaty_Oak_(Austin,_Texas)","Historic tree in Austin, Texas",148.0,65.0
131,Treaty Oak (Jacksonville),https://en.wikipedia.org/wiki/Treaty_Oak_(Jacksonville),"Tree in Jacksonville, Florida, US",-79.0,156.0
132,"Treaty Oak (Washington, D.C.)","https://en.wikipedia.org/wiki/Treaty_Oak_(Washington,_D.C.)","350-400 year old oak tree in Washington, D.C",-8.0,156.0
133,Tree of Life (Louisiana),https://en.wikipedia.org/wiki/Tree_of_Life_(Louisiana),Tree in Louisiana,134.0,101.0
134,Tree That Owns Itself,https://en.wikipedia.org/wiki/Tree_That_Owns_Itself,"Tree in Georgia, USA",-65.0,-26.0
135,Vizcaíno-Serra Oak,https://en.wikipedia.org/wiki/Vizca%C3%ADno-Serra_Oak,,77.0,10.0
136,Tree That Owns Itself (Alabama),https://en.wikipedia.org/wiki/Tree_That_Owns_Itself_(Alabama),,49.0,156.0
137,Wallace Oak (Elderslie),https://en.wikipedia.org/wiki/Wallace_Oak_(Elderslie),Historic oak tree,34.0,83.0
138,Wallace Oak (Port Glasgow),https://en.wikipedia.org/wiki/Wallace_Oak_(Port_Glasgow),,162.0,-8.0
139,Wallace Oak (Torwood),https://en.wikipedia.org/wiki/Wallace_Oak_(Torwood),,134.0,10.0
140,Washington Oak,https://en.wikipedia.org/wiki/Washington_Oak,Protected ancient tree in the United States,34.0,-8.0
141,"Winameg, Ohio","https://en.wikipedia.org/wiki/Winameg,_Ohio",,-51.0,-26.0
142,Wye Oak,https://en.wikipedia.org/wiki/Wye_Oak,Largest known white oak in the United States,-107.0,83.0
143,Wyndham's Oak,https://en.wikipedia.org/wiki/Wyndham%27s_Oak,,34.0,101.0
144,,https://en.wikipedia.org,,,
